name,cgpa
zor,8.440000
zos,9.090000
zot,5.400000
zou,9.140000
zpf,9.770000
zmz,8.130000
znb,6.140000
znf,7.500000
znj,5.030000
znl,7.210000
zns,5.210000
zod,7.160000
znk,5.310000
znn,5.040000
znw,9.140000
zny,8.690000
zma,8.940000
zmc,5.570000
zme,8.070000
zmn,6.360000
zmv,5.300000
zmw,9.100000
zmi,9.350000
zmj,9.650000
zmu,7.780000
zmp,7.830000
zmx,5.030000
zlh,7.420000
zli,5.390000
zln,8.970000
zkp,5.570000
zku,5.730000
zkz,6.200000
zkc,7.010000
zjm,7.430000
zjp,7.860000
zju,7.490000
zjy,5.370000
zkf,5.330000
zjq,6.360000
zkb,6.670000
zke,8.080000
zkh,7.080000
zig,9.900000
zii,5.870000
ziq,9.940000
ziv,7.350000
ziw,6.330000
ziz,8.200000
zja,6.430000
zip,6.380000
zit,6.370000
zje,8.560000
zha,6.810000
zhm,7.600000
zhn,6.770000
zhw,8.430000
zhc,7.670000
zhg,9.100000
zhr,6.340000
zhs,9.070000
zhy,9.030000
zid,7.610000
zfz,8.480000
zgj,7.250000
zgw,5.930000
zfv,6.180000
zgc,7.120000
zgd,7.160000
zgv,9.350000
zfx,8.280000
zge,5.650000
zgg,9.640000
zgk,9.670000
zgl,5.780000
zgs,7.820000
zfs,6.140000
zer,8.760000
zeu,5.000000
zfl,7.260000
zes,7.800000
zet,9.620000
zez,6.360000
zfb,6.250000
zfe,8.180000
zff,6.480000
zfg,7.170000
zfj,8.850000
zfm,6.410000
zfn,8.260000
zfo,7.490000
zfq,7.200000
zft,7.700000
zdl,6.830000
zdw,7.540000
zdx,9.490000
zel,6.580000
zdm,9.220000
zdp,5.510000
zdu,8.340000
zec,8.890000
zed,7.080000
zej,8.930000
zek,6.480000
zem,8.580000
zcq,9.530000
zdd,9.260000
zde,9.670000
zci,9.230000
zcj,9.870000
zck,8.940000
zcn,5.080000
zct,7.330000
zcv,9.330000
zdi,5.340000
zdj,8.160000
zbb,5.290000
zce,5.470000
zbd,9.790000
zbf,5.960000
zbi,7.440000
zbq,6.660000
zca,9.680000
zbj,6.130000
zbn,8.550000
zbt,9.180000
zbu,9.130000
zbv,7.790000
zbw,6.620000
zac,7.310000
zad,6.680000
zaf,5.870000
zag,6.610000
zah,8.290000
zax,7.080000
zan,7.760000
zau,8.060000
zav,8.040000
yzb,5.100000
yzq,7.130000
yyu,9.080000
yyx,6.740000
yza,9.680000
yzc,5.320000
yzf,6.840000
yzi,5.710000
yzj,6.350000
yzn,9.590000
yzo,7.150000
yzr,8.680000
yzs,6.290000
yzv,8.050000
yxv,6.360000
yxz,7.330000
yye,9.890000
yyn,7.380000
yya,6.780000
yyo,8.820000
ywp,5.510000
ywu,6.600000
yxf,9.100000
yxg,5.730000
yxk,6.920000
ywj,6.730000
ywk,5.820000
ywq,6.630000
yws,8.080000
yxa,9.950000
yxc,5.960000
yxd,7.960000
yxh,8.290000
yvt,6.710000
ysw,9.800000
yvh,6.320000
yvk,7.240000
yvl,7.730000
yvo,5.940000
yvp,5.860000
yvr,9.940000
yvw,5.170000
yvz,5.480000
ywb,5.660000
ytx,7.830000
yun,6.890000
yuz,6.310000
ytz,6.220000
yuj,9.740000
yub,9.520000
yud,6.230000
yue,6.710000
yuk,5.580000
yur,9.030000
yuu,9.460000
yvb,8.110000
ysy,9.760000
yte,7.730000
ytl,7.110000
ytn,9.170000
yto,5.710000
ytu,5.980000
ysx,5.890000
yta,6.690000
ytp,6.450000
ytv,5.290000
ysn,5.360000
ysq,8.340000
yrr,7.960000
ysa,8.650000
ysh,5.200000
yrt,7.090000
yru,9.580000
yrw,6.760000
yry,7.710000
ysf,5.350000
ysr,7.000000
yqk,7.150000
yqq,7.650000
yqu,5.800000
yra,6.220000
yoe,9.660000
yqs,7.350000
yqv,8.480000
yqx,7.450000
yrd,6.580000
yrf,8.760000
yri,5.600000
yrj,7.850000
yrm,9.720000
ypd,9.960000
ype,5.390000
ypp,8.770000
ypx,6.810000
yqa,5.830000
yqh,8.180000
ypg,7.850000
ypl,9.080000
ypm,6.950000
ypr,8.670000
ypw,9.530000
ypy,8.350000
yqc,6.020000
yny,8.480000
yoa,6.870000
yoc,7.670000
yod,6.490000
yof,5.980000
yom,9.580000
yoq,7.070000
you,9.320000
yox,7.270000
ypa,9.830000
yol,8.050000
yoo,9.880000
yoz,9.390000
ymu,8.870000
ynb,6.730000
yne,7.530000
ynj,5.960000
ynq,7.910000
ymw,6.100000
ymz,5.430000
ynd,9.470000
ynh,6.080000
ynm,7.860000
ynk,7.290000
ynt,9.040000
ynu,6.390000
ynv,7.420000
ylr,8.220000
yls,6.950000
ymk,5.590000
yjm,9.030000
ylw,8.860000
ylz,5.920000
ymc,9.950000
ymr,8.450000
yly,7.010000
ymq,9.520000
ykw,6.060000
ylg,5.010000
ylk,8.980000
yko,5.950000
ykp,5.180000
yks,8.460000
yku,8.850000
ylc,7.220000
yli,5.550000
ylj,6.930000
yje,5.330000
yjf,5.990000
yji,8.050000
yhd,8.280000
yjt,8.780000
yjv,7.060000
yjz,7.700000
ykd,7.700000
yjh,6.830000
yjp,9.890000
ykc,7.240000
yke,5.560000
ykg,5.650000
yim,7.950000
yip,7.670000
yiv,6.540000
yjb,8.320000
yjd,6.260000
yhz,6.280000
yid,5.970000
yig,8.930000
yil,9.230000
yit,9.220000
yin,8.640000
yir,6.750000
yis,6.870000
yiu,5.380000
yha,5.920000
yhj,7.050000
yhm,8.210000
yho,5.470000
ygu,8.300000
ygz,8.500000
yhc,5.780000
yeu,8.980000
yhg,9.070000
yhl,5.240000
yhp,7.670000
yhs,5.820000
yhv,9.180000
yhw,7.250000
yfz,6.890000
yfq,9.890000
yfu,9.660000
yga,5.470000
ygj,9.010000
yfw,7.800000
yfx,9.460000
ygl,9.940000
ygt,7.150000
yen,6.280000
yes,5.670000
ycl,8.110000
yev,7.940000
yex,8.990000
yey,5.740000
yfo,7.080000
yep,5.480000
yeq,9.230000
yer,8.700000
yet,8.890000
yfc,9.950000
yfe,5.540000
yfk,5.950000
yfm,9.190000
ydh,9.240000
yeh,5.400000
ydi,5.250000
yef,6.110000
yei,6.200000
ydq,8.220000
ydz,6.670000
yee,6.150000
yeg,7.270000
ycb,7.600000
ycg,9.870000
ycj,8.280000
yck,9.760000
ycn,7.250000
ycu,5.900000
yde,6.760000
yct,9.930000
ycv,9.810000
ycx,5.340000
yay,8.400000
yaz,9.360000
ybe,7.450000
ybf,6.590000
ybo,5.600000
ybx,9.820000
yaw,6.480000
ybk,6.860000
ybl,6.830000
ybn,5.420000
ybr,5.420000
ybt,5.300000
ybv,9.740000
xzr,5.430000
xzt,5.550000
yaq,7.460000
xzx,8.110000
xzy,7.560000
xxt,9.280000
yae,8.620000
yao,9.640000
yas,7.500000
yaf,7.990000
yah,6.770000
yal,8.080000
yam,9.810000
yan,7.520000
yap,5.110000
yat,6.260000
xyl,7.280000
xyp,8.130000
xyq,8.190000
xyy,7.440000
xyx,5.280000
xyz,7.740000
xzb,9.600000
xzc,8.930000
xzg,6.820000
xzh,7.250000
xzk,9.070000
xzn,7.920000
xzp,7.030000
xxs,5.360000
xxx,5.190000
xya,5.530000
xxg,9.700000
xxh,5.580000
xxi,8.330000
xxk,8.470000
xxn,7.410000
xxq,7.960000
xvk,8.790000
xxy,9.700000
xyb,6.800000
xyc,9.570000
xyi,5.890000
xwb,7.980000
xwg,8.360000
xwc,9.030000
xwd,6.070000
xwh,8.790000
xwz,6.790000
xxe,9.380000
xwl,5.800000
xwm,5.240000
xwq,8.610000
xwu,6.520000
xvh,9.130000
xtb,8.140000
xvl,5.260000
xvp,9.010000
xvw,6.410000
xuz,8.770000
xvg,7.180000
xvb,9.540000
xvd,7.140000
xve,9.070000
xvj,8.240000
xvm,6.260000
xvo,8.090000
xvq,6.290000
xvu,7.020000
xvv,6.230000
xtr,6.270000
xtw,5.070000
xtx,8.180000
xtz,5.810000
xug,5.570000
xun,5.840000
xup,5.410000
xur,6.920000
xuk,6.090000
xut,7.170000
xsm,5.420000
xsp,7.070000
xsq,9.790000
xsw,7.420000
xsr,6.460000
xsy,8.260000
xss,9.970000
xtg,8.690000
xsz,5.730000
xqs,9.440000
xtf,9.710000
xtj,6.550000
xtq,5.650000
xrh,9.100000
xri,8.030000
xrj,7.010000
xrp,6.680000
xrq,8.810000
xsb,9.800000
xsj,5.540000
xsl,5.080000
xrn,8.510000
xru,5.510000
xrz,5.430000
xse,8.720000
xsg,8.510000
xsh,7.570000
xsi,8.680000
xqd,8.430000
xqo,6.630000
xqr,5.170000
xrd,6.000000
xqe,6.810000
xqi,9.370000
xqj,9.720000
xql,5.610000
xqp,8.640000
xoj,8.390000
xqv,5.840000
xqn,8.190000
xqq,9.840000
xrg,5.530000
xox,8.920000
xoy,9.180000
xoz,8.330000
xpb,6.240000
xpk,7.920000
xps,8.290000
xpv,9.640000
xpz,9.910000
xpe,9.870000
xpl,9.090000
xpm,5.940000
xpp,5.960000
xpt,6.930000
xpw,6.980000
xqa,8.510000
xnu,8.140000
xnw,6.690000
xog,8.200000
xma,8.110000
xns,6.400000
xov,6.770000
xnx,5.380000
xoc,8.250000
xok,7.520000
xny,7.230000
xoe,9.760000
xoo,7.000000
xod,6.770000
xoi,8.080000
xom,8.310000
xon,6.330000
xos,7.460000
xot,5.860000
xou,8.100000
xmn,7.580000
xmo,8.110000
xmx,5.030000
xmr,7.620000
xmt,7.620000
xmu,5.520000
xmz,7.940000
xnf,7.230000
xng,9.050000
xni,5.700000
xnj,8.740000
xnn,9.380000
xlq,6.640000
xlx,8.180000
xmm,8.430000
xll,8.400000
xlv,8.900000
xls,6.720000
xlu,9.960000
xme,9.840000
xmf,8.960000
xmg,7.030000
xki,9.920000
xkd,8.500000
xkw,9.820000
xke,8.040000
xlh,6.600000
xkf,8.010000
xkg,7.360000
xlb,5.670000
xkj,5.270000
xkk,9.040000
xkl,9.090000
xlc,5.320000
xlf,7.860000
xjh,8.370000
xjn,5.280000
xjp,7.570000
xjq,5.730000
xjt,7.910000
xju,6.780000
xjy,5.200000
xiz,6.420000
xjk,6.670000
xjl,9.070000
xjm,8.860000
xhi,9.450000
xjs,5.520000
xkc,6.180000
xia,9.820000
xig,7.670000
xio,5.350000
xhv,9.230000
xhz,8.020000
xim,7.650000
xin,8.190000
xir,6.840000
xit,9.030000
xgp,7.420000
xgq,9.980000
xgs,8.000000
xgt,7.110000
xgw,7.990000
xgy,8.810000
xhm,5.620000
xhg,8.350000
xhk,8.010000
xfj,7.370000
xfm,9.490000
xfq,9.380000
xfv,6.860000
xfy,7.430000
xfz,7.510000
xga,7.370000
xge,8.690000
xgf,8.360000
xgi,8.920000
xgj,6.070000
xgm,5.660000
xgn,5.440000
xem,7.710000
xeq,5.090000
xeu,7.450000
xcq,8.030000
xeg,8.150000
xek,8.710000
xeo,6.630000
xep,9.150000
xex,9.600000
xfb,9.980000
xfd,8.570000
xfe,6.530000
xdr,9.550000
xdt,5.440000
xdz,8.740000
xcz,6.320000
xda,8.320000
xdb,5.080000
xdh,8.470000
xdn,5.900000
xdq,8.300000
xea,9.070000
xec,7.890000
xed,9.230000
xbu,9.730000
xck,6.720000
xcp,7.840000
xcs,9.650000
xcx,5.800000
xcy,5.670000
xbv,7.590000
xbx,9.510000
xbz,7.770000
xcb,9.320000
xcj,6.510000
xcu,9.490000
xcv,8.670000
xaq,9.730000
xaz,5.920000
xbh,9.040000
xbm,6.800000
xas,9.850000
xav,6.410000
xaw,6.030000
xay,8.960000
xbb,6.400000
xbe,8.980000
wzk,7.230000
wzo,8.740000
wzq,8.950000
wzr,5.680000
xaa,9.380000
xal,8.720000
xao,8.500000
wzm,9.590000
wzp,7.980000
wzu,6.450000
wzx,7.270000
xab,8.140000
xae,5.970000
xaf,7.880000
wyk,5.290000
wyv,9.820000
wyy,8.590000
wza,6.820000
wzh,5.160000
wyg,6.130000
wyh,8.510000
wyn,9.630000
wyq,8.260000
wzd,8.090000
wzf,5.730000
wzg,6.560000
wxl,9.540000
wxv,9.130000
wvp,8.380000
wxz,5.690000
wyb,6.020000
wyc,8.200000
wyd,7.780000
wxw,9.040000
wvv,5.360000
wvw,5.950000
wvy,9.020000
wwd,6.060000
wwf,6.760000
wwh,9.410000
wwp,8.750000
wws,7.250000
wwj,6.080000
wwo,5.740000
wwq,6.630000
wwt,7.060000
wwu,9.030000
wwv,5.400000
wwx,9.040000
wwy,8.240000
wvc,8.340000
wvf,7.250000
wvj,6.380000
wuv,7.730000
wux,5.490000
wva,7.620000
wvm,9.340000
wvr,6.150000
wtl,5.260000
wto,5.640000
wtr,5.240000
wtt,6.220000
wud,7.410000
wue,5.840000
wtn,8.300000
wtq,6.670000
wts,7.440000
wtw,8.490000
wuj,8.510000
wul,9.960000
wum,10.000000
wsg,6.830000
wsh,7.330000
wsk,6.590000
wsl,6.560000
wsn,6.820000
wsq,6.670000
wsr,9.180000
wst,8.130000
wsu,7.090000
wte,5.590000
wth,5.970000
wti,9.630000
wrl,5.310000
wro,5.300000
wrp,5.870000
wsf,7.340000
wrf,8.560000
wrg,7.890000
wry,7.880000
wsd,8.910000
wpy,8.970000
wqt,7.060000
wqz,9.460000
wqa,6.730000
wqb,8.130000
wqc,8.970000
wqe,9.940000
wqg,5.990000
wqh,9.070000
wqk,9.030000
wql,9.610000
wqo,7.220000
woo,9.200000
wqy,9.150000
wpa,7.790000
wpb,6.170000
wpp,9.610000
wor,6.920000
wow,9.700000
woy,6.950000
wpi,6.580000
wpl,7.220000
wpo,7.720000
wov,7.190000
wpc,8.310000
wpf,8.360000
wph,5.810000
wpk,6.650000
wpm,6.500000
wpu,9.030000
wnr,9.840000
wnt,9.200000
wod,6.170000
woh,7.920000
woi,7.670000
woq,8.740000
wnn,6.180000
wnq,5.590000
wns,9.300000
wnu,7.210000
woa,6.230000
wob,9.150000
wok,8.440000
wol,6.300000
wmo,7.680000
wmq,5.760000
wml,5.550000
wmm,9.930000
wmv,5.260000
wmy,9.080000
wnh,5.240000
wnj,6.050000
wnk,5.130000
wlo,5.500000
wlx,5.990000
wlc,7.700000
wle,9.870000
wlg,5.830000
wlz,8.210000
wmc,9.050000
wlf,7.380000
wlh,9.360000
wll,9.320000
wma,6.470000
wme,5.400000
wjw,8.720000
wln,6.260000
wlv,7.310000
wjx,6.410000
wjy,7.530000
wjz,7.000000
wkh,8.340000
wky,9.790000
wkb,8.000000
wkk,5.880000
wkl,5.800000
wkm,9.640000
wkn,6.970000
wkq,7.020000
wkr,5.830000
wkt,5.010000
wku,6.170000
wkv,6.580000
wla,9.310000
wlb,8.970000
wiu,6.410000
wiy,9.410000
wjq,8.430000
wju,5.320000
wiz,6.850000
wja,6.700000
wjd,5.390000
wjh,7.850000
wjk,5.740000
wjn,5.600000
whn,8.710000
wfe,8.620000
whu,5.390000
whz,7.690000
wid,9.050000
wie,9.150000
wii,9.900000
wio,7.760000
whq,8.590000
whr,7.400000
whv,7.030000
why,8.760000
wiq,5.930000
wgi,6.450000
wgv,6.480000
wgx,6.640000
whc,6.240000
whd,6.280000
whf,6.200000
whl,8.130000
whm,5.120000
wgo,7.340000
wgz,6.720000
wha,6.420000
wgq,9.220000
wgw,7.480000
wgy,9.160000
whg,5.360000
whk,7.030000
wfm,9.460000
wfu,8.630000
wfx,6.850000
wfh,9.950000
wfj,7.190000
wfv,8.310000
wgd,7.020000
wfk,7.810000
wfo,6.280000
wfr,5.380000
wge,5.460000
wft,5.610000
wfw,6.620000
wgc,5.340000
wfy,5.260000
wga,5.070000
wgf,8.770000
wgh,10.000000
wee,6.820000
wef,9.800000
wfb,9.810000
wdz,8.420000
web,5.040000
wek,7.920000
wew,8.170000
wfa,6.120000
wct,7.250000
wdv,8.700000
wdx,5.470000
wcx,6.120000
wdd,8.010000
wdp,10.000000
wdr,9.380000
wdw,9.930000
wcy,9.190000
wdq,5.470000
wdb,9.690000
wdc,6.760000
wdk,9.770000
wdl,8.040000
wds,6.100000
wdu,8.410000
wbo,8.250000
wbp,6.670000
wcf,5.330000
wci,6.740000
wcl,5.930000
wbs,9.340000
wbv,8.230000
wch,6.300000
wbz,5.560000
wca,7.070000
wcq,6.850000
wak,8.370000
war,7.380000
wbe,7.540000
wbm,8.240000
was,9.690000
waw,7.130000
way,7.170000
wba,7.550000
wbc,8.970000
wbf,7.360000
wbk,5.000000
vzz,8.050000
wae,5.590000
waf,6.700000
vzf,8.670000
vzg,8.700000
vzp,7.250000
vzt,5.660000
vzu,6.860000
vzv,6.510000
vzx,5.130000
vzy,8.810000
wah,9.500000
wai,5.570000
vyk,5.300000
vyy,6.050000
vyz,6.420000
vyb,9.280000
vye,6.330000
vym,6.770000
vyc,5.270000
vyl,5.970000
vyo,7.460000
vyr,9.520000
vyv,8.390000
vyx,7.950000
vzc,5.620000
vwv,6.890000
vxo,8.820000
vww,9.390000
vxu,5.500000
vwy,7.340000
vwz,6.880000
vxd,6.400000
vxh,6.220000
vxg,8.730000
vxm,9.090000
vxn,7.630000
vxs,6.630000
vxv,8.280000
vxw,8.370000
vvp,5.910000
vvx,6.900000
vwh,6.070000
vws,7.970000
vwt,9.950000
vvq,7.130000
vvv,8.400000
vwj,6.460000
vvy,5.100000
vwc,9.660000
vwg,7.580000
vwo,8.880000
vwq,8.090000
vvg,5.570000
vul,6.780000
vun,9.160000
vuo,6.470000
vuq,9.140000
vur,5.270000
vus,5.820000
vuw,5.350000
vvb,7.370000
vuu,9.260000
vux,9.780000
vvh,6.980000
vvi,5.910000
vtg,8.090000
vuj,8.270000
vtj,6.910000
vtm,8.460000
vtq,5.520000
vts,6.180000
vtu,7.700000
vtv,6.020000
vtp,9.750000
vtt,8.820000
vty,8.210000
vtz,5.370000
vua,8.460000
vue,6.800000
vuh,9.850000
vsa,8.170000
vsm,7.070000
vsn,8.680000
vss,8.630000
vsv,5.980000
vtd,7.620000
vsb,7.050000
vsd,5.200000
vsq,5.020000
vsu,5.570000
vsw,7.870000
vtc,6.610000
vte,7.730000
vqz,7.690000
vry,9.640000
vqw,7.600000
vqx,8.970000
vot,8.400000
vre,6.990000
vrf,6.140000
vrn,7.310000
vrr,9.620000
vrt,7.740000
vru,7.440000
vqa,7.280000
vqf,6.180000
vqk,5.380000
vqm,8.490000
vqp,5.320000
vpq,7.980000
vpr,8.610000
vpu,9.830000
vpy,7.260000
vqb,5.670000
vqh,9.220000
vqn,9.600000
vqo,6.400000
vqr,6.020000
voo,8.900000
vou,5.700000
vpa,5.680000
vpe,8.940000
vpn,6.560000
vom,6.070000
vos,6.310000
vov,8.500000
vpc,7.820000
vpf,7.680000
vpg,5.890000
vni,9.370000
vnk,6.580000
vnq,6.260000
vnt,6.090000
vnj,5.340000
vnn,5.220000
vnr,8.140000
vnu,6.220000
vny,9.360000
vnz,5.580000
voa,5.710000
vmc,6.880000
vmd,9.710000
vmw,8.940000
vme,6.010000
vmq,6.320000
vmf,8.480000
vmh,7.760000
vml,8.540000
vmn,6.030000
vmr,8.480000
vna,7.060000
vmy,6.260000
vmz,6.630000
vne,8.680000
vnf,5.000000
vlx,7.710000
vkz,8.320000
vla,9.900000
vlb,8.070000
vlc,5.450000
vlt,6.570000
vlw,5.170000
vlj,5.350000
vlk,8.620000
vll,9.420000
vlm,6.060000
vls,6.270000
vma,6.760000
vjx,7.850000
vjy,9.240000
vkg,6.940000
vkj,6.230000
vkn,8.250000
vks,6.230000
vkv,9.810000
vjr,9.940000
vkc,9.100000
vkd,6.140000
vkf,5.130000
vkr,8.660000
viq,9.710000
vit,9.660000
viu,7.490000
vix,6.060000
vja,9.970000
vjb,9.690000
vji,7.850000
vjp,6.790000
vjh,7.700000
vjj,9.370000
vjl,7.650000
vhn,5.270000
vhq,5.640000
vht,9.300000
vik,5.050000
vhr,5.540000
vhx,8.850000
vhy,6.000000
vid,7.040000
vie,8.070000
vgv,6.300000
vgd,6.490000
vge,6.380000
vgf,6.740000
vgg,7.050000
vgn,6.810000
vhg,8.660000
vgi,6.700000
vgk,8.780000
vgl,8.840000
vgo,8.400000
vgp,6.220000
vgy,9.900000
vhf,7.600000
vez,7.560000
vfq,6.130000
vfb,5.680000
vfm,6.800000
vfs,7.720000
vft,5.430000
vfw,6.360000
vfz,5.580000
vga,7.690000
vgb,8.030000
vdt,7.920000
vdz,9.510000
vea,7.070000
veb,9.080000
vef,9.480000
vek,5.810000
veu,5.140000
vew,9.260000
vdv,8.840000
vec,8.540000
vep,9.880000
vee,8.440000
veg,9.130000
ves,7.520000
vet,6.510000
vcz,7.630000
vdd,9.590000
vdh,8.580000
vdi,6.020000
vdl,7.970000
vdo,7.080000
vcp,5.660000
vct,7.070000
vcw,7.520000
vdb,7.550000
vde,5.290000
vdf,7.890000
vdg,6.730000
vdj,8.780000
vbk,8.410000
vcd,5.880000
vbl,7.290000
vbm,9.770000
vbt,9.480000
vce,5.720000
vbo,6.450000
vbu,6.470000
vby,5.440000
vcb,8.100000
vcc,6.890000
vci,5.630000
vae,7.440000
vak,9.670000
vam,5.520000
uyi,8.420000
vau,8.640000
vaw,8.850000
vbe,5.940000
vaf,7.720000
vao,5.950000
vap,7.640000
vat,7.780000
vay,8.660000
vaz,8.750000
vbh,7.270000
uzf,10.000000
uzk,8.510000
uzm,6.600000
uzo,5.970000
uzp,9.720000
uzr,5.200000
uzs,9.720000
uzv,8.850000
uzy,5.100000
vab,6.120000
uyh,6.770000
uyp,9.120000
uxu,7.360000
uxy,5.550000
uya,5.770000
uyg,9.080000
uyt,7.740000
uyu,5.040000
uxx,5.650000
uxz,5.180000
uyf,9.860000
uyq,9.320000
uyr,6.440000
uwp,7.270000
uww,9.460000
uxg,9.270000
uxl,7.360000
uxs,9.370000
uxd,9.610000
uxe,5.680000
uxi,9.400000
uxj,9.750000
uxp,9.880000
uxr,6.850000
uvl,9.220000
uvx,8.470000
uwb,5.470000
uwj,5.320000
uvj,8.350000
uvk,5.990000
uvp,8.610000
uvt,6.280000
uvu,6.900000
uwd,7.060000
uvv,7.820000
utq,8.970000
uwa,6.230000
uwg,8.150000
uwh,9.790000
uwl,8.440000
uue,7.670000
uuq,7.810000
uve,5.960000
uuf,7.650000
uuh,5.760000
uur,7.380000
usz,7.270000
utk,9.410000
utl,8.750000
utv,6.180000
uuc,9.160000
utd,5.770000
ute,7.180000
utf,7.680000
uth,6.160000
uti,7.520000
utn,7.310000
uto,8.300000
utu,8.780000
utz,7.890000
uub,5.770000
urx,7.190000
usa,5.720000
ush,8.180000
usi,9.770000
usw,6.310000
usk,6.010000
usl,7.310000
usn,6.370000
uso,7.160000
usp,6.430000
uss,5.620000
usv,8.240000
uqp,5.970000
ura,6.970000
urc,8.560000
uqr,7.400000
uqs,5.370000
uqt,6.220000
uqv,9.470000
urd,6.110000
urf,9.580000
urn,6.210000
urb,8.010000
ure,9.660000
urs,9.160000
upz,8.420000
upk,5.410000
upo,8.320000
upp,5.380000
upq,5.410000
ups,7.120000
upu,7.970000
uqe,9.220000
uqf,9.010000
uqi,6.950000
uqk,7.270000
uof,6.720000
uox,6.450000
uom,8.710000
uon,7.600000
uoo,5.590000
uor,8.430000
uov,9.690000
upd,7.660000
uph,6.270000
uoq,6.340000
uou,8.770000
ump,9.510000
uoz,6.290000
upb,7.610000
unb,9.840000
une,7.270000
unp,5.910000
uns,7.020000
und,5.110000
unk,7.930000
unn,7.000000
uno,5.850000
unu,7.210000
uoa,6.470000
uoc,7.580000
ulx,7.220000
umb,7.620000
umc,5.140000
umf,8.810000
umg,6.590000
umk,7.110000
umz,6.590000
ulv,5.500000
uma,7.040000
ume,8.870000
umh,9.930000
umi,8.270000
umn,6.310000
umt,7.500000
umw,7.980000
umy,8.890000
uks,8.190000
ukv,8.490000
ula,6.720000
uld,5.900000
ull,9.440000
uls,7.070000
ukq,8.030000
ukr,6.820000
ukw,7.410000
ukz,6.220000
ulj,8.220000
uln,7.820000
ulo,8.000000
ulp,7.720000
ujn,6.090000
ujr,9.320000
uju,5.940000
ujx,8.300000
ujz,9.650000
ukb,8.350000
uhx,8.770000
ukj,5.890000
ukn,9.930000
uko,7.910000
ukp,9.290000
uii,8.980000
uip,7.260000
uji,7.060000
uig,9.860000
uij,8.390000
uik,7.460000
uin,9.340000
uiy,7.100000
uio,5.740000
uis,6.370000
uit,5.900000
uix,6.810000
ujb,5.640000
uja,9.960000
ujk,5.220000
uhb,9.170000
uhg,5.300000
uhm,5.250000
uhp,5.850000
uhw,5.450000
uhy,6.960000
uhz,6.460000
uia,8.510000
uic,6.500000
uhe,8.190000
uhj,5.530000
uhk,6.460000
uhr,7.680000
uif,9.490000
ufz,8.010000
uge,9.520000
ugj,9.210000
ugr,9.990000
ugy,7.020000
ugk,8.960000
ugp,8.760000
ugz,8.350000
uha,6.890000
uez,6.110000
ufq,8.820000
ues,9.080000
uey,7.930000
ufa,9.370000
uff,5.640000
ufg,8.360000
ufh,7.500000
ufc,5.890000
udf,9.260000
ufp,8.630000
ufr,8.300000
udm,5.730000
udu,6.750000
ueg,9.240000
udn,6.990000
udy,5.250000
uea,8.040000
uee,6.610000
uej,5.090000
uel,6.670000
uem,7.910000
ueo,6.880000
